Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
240	-959.1563	-933.7691	-25.38723	1.46751	1.6751	1.77832	3.81108	0.805378	2.14053	4.9327	6.3289	4.17353	7.46909	0.811321	0.926089	0.983155	1.50372	0.317774	0.84458	1.46751	1.6751	1.77832	0	0	0	0	0	-0.512839	0	-0.789435	0.620274	0	0	-0.216629	0.3496973	1.489757	1.808793	1.872937	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0.723588	0	-0.303022	-0.302865	0	-0.907386	0	1.87294	0.349697	2.222634	1.50372	0.317774	0.84458
250	-955.0494	-933.7288	-21.32063	0.514543	1.20942	0.750352	3.2955	1.20338	1.34219	6.35738	7.19977	3.93	8.6104	0.663234	1.55892	0.967187	1.88745	0.689216	0.768722	0.514543	1.20942	0.750352	0	0	0	0	-1.23845	0	0	0	1.21814	0	0	-0.337322	1.310416	1.107989	0.7758085	1.746005	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0.311769	0	0	0	0	1.746	1.31042	3.056421	1.88745	0.689216	0.768722
260	-958.3478	-934.4306	-23.91723	0.587662	2.35854	1.67128	3.47447	0.759073	1.46881	6.34441	6.52848	2.984	7.67631	0.45708	1.83446	1.29991	1.83836	0.40163	0.777156	0.587662	2.35854	1.67128	0	0	0	0	0	0.832126	0	-0.80735	0.370604	0.349399	0	-0.323328	0.9313857	1.59461	1.285689	1.570528	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0861438	0	-0.555465	0	1.57053	0.931386	2.501914	1.83836	0.40163	0.777156
270	-957.109	-933.4198	-23.68913	1.14389	2.28474	1.13924	4.35267	1.45955	1.64303	7.15651	6.93416	3.49723	8.5908	1	1.99734	0.995938	1.99166	0.667852	0.751804	1.14389	2.28474	1.13924	0	0	0	0	0	1.04421	0	-0.3955	0	0	0	-0.365861	0.5345112	1.358457	1.14389	2.185448	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0.0709432	0.13364	0	0	0.695886	-0.00407054	0	0	2.18545	0.534511	2.719959	1.99166	0.667852	0.751804
280	-956.8582	-934.3154	-22.54277	0.755423	1.10948	1.10948	3.35906	1.11839	1.83124	4.80075	5.54609	3.2319	6.78617	1	1.46869	1.46869	1.72996	0.575987	0.94311	0.755423	1.10948	1.10948	0	0	0	0	-0.410494	0.0308769	0	-0.223393	0	0	-1.00843	-0.110539	0.2252068	1.437272	0.755423	1.90189	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0.38437	-0.0621466	0	1.90189	0.225207	2.127097	1.72996	0.575987	0.94311
290	-955.4324	-932.0521	-23.3803	0.780161	1.17358	1.18506	3.49164	1.12161	1.74426	5.41406	6.03671	4.44496	7.8206	1.05828	1.59195	1.60752	1.84022	0.591126	0.919287	0.780161	1.17358	1.18506	0	0	0	0	0	0	-1.03248	0	0	-0.0300791	-1.00843	-0.143349	0.6968154	0.9936842	0.7371981	1.897409	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0.678982	0	0.500982	0	0.498148	0	0	1.89741	0.696815	2.594225	1.84022	0.591126	0.919287
300	-959.0186	-932.8042	-26.21434	0.812376	1.42471	1.25628	4.0631	1.24149	1.94119	5.64795	6.40544	4.72144	8.0297	1.13788	1.99557	1.75965	1.89919	0.5803	0.907358	0.812376	1.42471	1.25628	0	0	0	0	0	-0.451904	-0.510986	0	-0.383185	0	-1.00843	-0.160101	0.3897035	1.304277	0.7139362	2.139385	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	-0.147547	0.794835	0	0.287392	0.275978	0.554619	0	0	2.13938	0.389703	2.529088	1.89919	0.5803	0.907358
310	-962.4423	-934.1023	-28.33996	0.928004	3.8197	1.77814	3.93828	1.00925	2.02847	6.3851	7.25386	9.55284	9.90757	1	4.11604	1.91609	1.5987	0.409692	0.823431	0.928004	3.8197	1.77814	0	0	0	0	0.426459	0	1.49573	0	0	0	0	-0.249152	1.476527	2.082612	0.9280043	2.0052	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	-0.677669	0.732102	0	-0.329479	0.764604	0.650288	-0.617436	0	2.0052	1.47653	3.481727	1.5987	0.409692	0.823431
320	-956.4705	-932.207	-24.26349	1.43989	3.44746	2.0352	3.85108	1.87347	2.02562	6.04406	6.30066	4.53303	8.39887	1.24007	2.96904	1.75276	1.57514	0.766273	0.828507	1.43989	3.44746	2.0352	0	0	0	0	0	-0.82176	0	-0.757465	0	-0.114261	0	-0.24127	0.307444	1.74239	1.161136	2.444907	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0.328731	0	0	0	0.564027	0.650288	0	0	2.44491	0.307444	2.752351	1.57514	0.766273	0.828507
330	-955.4414	-933.1236	-22.31781	0.803277	2.39405	1.65103	3.38903	1.19497	1.60367	5.92688	6.41538	4.45026	8.38347	0.951589	2.83607	1.95587	1.69748	0.598533	0.80324	0.803277	2.39405	1.65103	0	0	0	0	0	-0.167728	0	0	0	0.0263508	0	-0.280991	1.035661	1.616405	0.8441427	1.865734	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0.363056	0.650288	-0.203229	0	1.86573	1.03566	2.901395	1.69748	0.598533	0.80324
340	-960.4571	-932.1835	-28.27365	0.977386	2.97089	1.56303	3.75677	0.771692	1.93369	5.24822	6.15705	6.78724	7.77583	1.21747	3.70067	1.94697	1.59945	0.328549	0.823271	0.977386	2.97089	1.56303	0	0	0	0	1.17633	0.373437	0	-0.761202	-0.583748	0	0	-0.249402	0.6806325	1.622091	0.8027977	1.776432	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1.91642	0	0	0.870992	0.650288	-0.837882	0	1.77643	0.680633	2.457064	1.59945	0.328549	0.823271
350	-961.8145	-935.7132	-26.10128	0.224075	0.112128	0.106709	3.18594	0.778976	1.12526	5.10517	5.20189	6.40977	7.24388	0.74961	0.375107	0.35698	1.83632	0.448988	0.648578	0.224075	0.112128	0.106709	0	0	0	0	0.224011	0.548964	0	0	0	0.153043	1.08594	-0.517128	1.075605	0.9407471	0.298922	1.408222	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	-1.50061	0.49748	0	0	0	-1.14941	-0.625971	0	1.40822	1.0756	2.483827	1.83632	0.448988	0.648578
360	-960.7938	-935.8911	-24.90268	0.744573	1.83073	0.744573	3.66566	0.46928	1.14444	5.48861	6.85017	3.59032	7.90046	1	2.45877	1	2.80482	0.359075	0.875678	0.744573	1.83073	0.744573	0	0	0	0	-0.248498	-1.00461	-0.276857	0	0	0	0	-0.54767	1.236993	1.477639	0.7445726	1.253311	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0.801817	0	0	0	0.899662	0	-0.714216	0.294288	1.25331	1.23699	2.490304	2.80482	0.359075	0.875678
370	-959.4348	-935.4708	-23.96406	0.716249	1.47456	0.716249	3.84018	0.385557	0.935051	5.07574	5.35166	5.22217	6.70446	1	2.05872	1	2.71561	0.272648	0.661226	0.716249	1.47456	0.716249	0	0	0	0	1.49823	0	1.42266	0	0	0	0	-0.530504	0.7828425	1.27397	0.7162488	1.11453	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	-1.16763	0	0	0	0.722086	0	-0.714216	0	1.11453	0.782843	1.897373	2.71561	0.272648	0.661226
380	-962.1472	-939.9372	-22.21	0.284232	1.01582	0.88486	4.31162	0.611142	1.46788	5.87933	6.73607	4.76882	8.28019	0.447938	1.6009	1.3945	2.56709	0.363868	0.873962	0.284232	1.01582	0.88486	0	0	0	0	0	0	-0.411931	0	0	0.426468	0	-0.500639	0.9148112	1.363665	0.6345343	1.56973	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1.03387	0	0	0	0	-0.714216	0.255654	1.56973	0.914811	2.484541	2.56709	0.363868	0.873962
390	-957.1134	-936.0013	-21.11205	1.52342	1.11777	1.3706	4.19975	0.751177	1.42917	5.14619	5.92393	3.03755	6.87611	1.19173	0.874404	1.07219	2.14318	0.383335	0.729322	1.52342	1.11777	1.3706	0	0	0	0	0	-1.19899	0	0	-0.520352	0	0	-0.404797	0.242335	1.185506	1.278326	1.652024	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0554468	-0.512194	0	1.65202	0.242335	1.894359	2.14318	0.383335	0.729322
400	-961.4071	-936.793	-24.61409	0.519145	0.669187	0.543015	3.19444	0.723599	0.829691	4.85044	4.95653	2.26874	6.02357	0.952249	1.22747	0.996032	2.20779	0.500105	0.573429	0.519145	0.669187	0.543015	0	0	0	0	0	0	0	-1.30789	0.145149	0	-0.00209703	-0.420194	0.6018372	1.286911	0.545178	1.242424	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0.264853	0	0.371882	-0.980759	0.152047	0	0	-0.228534	1.24242	0.601837	1.844261	2.20779	0.500105	0.573429
410	-962.3805	-934.9746	-27.40597	0.655701	0.235767	0.655701	3.53718	0.613964	1.15159	5.12795	5.59255	5.9796	7.30935	1	0.359565	1	2.21132	0.383828	0.719932	0.655701	0.235767	0.655701	0	0	0	0	0.31719	-0.0131456	0	-1.30789	0	0	0	-0.421417	1.005044	1.258095	0.6557011	1.357372	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	-1.12586	0.244381	0.369413	-0.979014	-1.02286	0	-0.49257	0	1.35737	1.00504	2.362416	2.21132	0.383828	0.719932
420	-970.032	-939.3574	-30.6746	0.536386	0.714682	0.343186	2.8305	0.68905	1.29756	3.89831	4.54422	12.2923	5.78074	1.62592	2.16638	1.04028	1.8241	0.444053	0.836204	0.536386	0.714682	0.343186	0	0	0	0	1.60559	-1.48298	0	-1.30789	-1.44196	0	-0.419279	-0.244139	0.600888	1.709661	0.3298966	1.362743	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	-1.09209	0	0	-0.974745	1.29863	0	-0.389609	0	1.36274	0.600888	1.963631	1.8241	0.444053	0.836204
430	-959.7883	-934.6857	-25.10255	0.163026	0.971216	0.649158	3.2655	1.13995	1.70172	4.89919	5.46096	3.9536	7.03788	1	5.95741	3.98192	1.54991	0.541058	0.80769	0.163026	0.971216	0.649158	0	0	0	0	0	0	0	-1.30789	0	0	0.192455	-0.267145	0.4455554	1.370129	0.1630264	1.850294	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	0	0.811836	0	-0.980782	0.402872	1.38176	-0.389609	0	1.85029	0.445555	2.29585	1.54991	0.541058	0.80769
440	-958.2774	-934.2275	-24.04987	0.638462	0.787239	0.700315	3.47327	1.66727	1.80529	5.71943	5.93898	6.93959	8.30512	0.904252	1.11497	0.991856	1.58845	0.762504	0.825625	0.638462	0.787239	0.700315	0	0	0	0	0	-0.382851	0	-1.30789	0.298571	0	0	-0.245739	0.6948138	1.505431	0.7060656	2.186575	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1.3176	0	-0.981454	0	0	0	0	2.18658	0.694814	2.881389	1.58845	0.762504	0.825625
450	-956.8146	-932.2062	-24.60835	0.956413	1.72835	1.21091	3.66296	1.03349	1.5519	5.42186	5.99535	3.25648	7.33375	0.758895	1.37141	0.960837	2.03001	0.572761	0.86006	0.956413	1.72835	1.21091	0	0	0	0	-0.291529	0.00689143	0	-0.456107	0.923452	-0.018798	-0.852989	-0.223298	0.5117831	1.6282	1.26027	1.804407	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	-0.00416303	0	0	0	0	1.80441	0.511783	2.31619	2.03001	0.572761	0.86006
